LearneCN — vocabulary filter report

Generated by tools/filter-vocabulary.py. Every line is a change that
tool made to the shipped data. "trigger" is the word that caused it;
the offending definitions themselves are not repeated here.

Official HSK 1-6 vocabulary is never deleted. The most that happens to
an HSK word is that one sense is dropped from its gloss.

779 headwords are gone from the data entirely.
967 practice questions were about one of them and went with it.
1810 more had an obscene wrong answer swapped for a clean one and were kept.

------------------------------------------------------------------------------
file          word       reading          action                           category   trigger
cedict.json   泼物         po1 wu4          removed                          profanity  curse word
cedict.json   淦          gan4             sense dropped                    profanity  fuck
cedict.json   混球         hun2 qiu2        sense dropped                    profanity  bastard
cedict.json   混蛋         hun2 dan4        sense dropped                    profanity  bastard
cedict.json   渣男         zha1 nan2        sense dropped                    profanity  scumbag
cedict.json   滚开         gun3 kai1        sense dropped                    profanity  fuck
cedict.json   滚犊子        gun3 du2 zi5     sense dropped                    profanity  fuck
cedict.json   满口胡柴       man3 kou3 hu2 c  sense dropped                    profanity  bullshit
cedict.json   满口胡言       man3 kou3 hu2 y  sense dropped                    profanity  bullshit
cedict.json   满嘴喷粪       man3 zui3 pen1   removed                          profanity  bullshit
cedict.json   满地找牙       man3 di4 zhao3   sense dropped                    profanity  crap
cedict.json   炮友         pao4 you3        sense dropped                    profanity  fuck
cedict.json   烂人         lan4 ren2        sense dropped                    profanity  scumbag
cedict.json   牛溲马勃       niu2 sou1 ma3 b  sense dropped                    profanity  piss
cedict.json   狗东西        gou3 dong1 xi5   sense dropped                    profanity  scumbag
cedict.json   狗娘养的       gou3 niang2 yan  removed                          profanity  son of a bitch
cedict.json   狗屁         gou3 pi4         sense dropped                    profanity  bullshit
cedict.json   狗屎         gou3 shi3        sense dropped                    profanity  excrement
cedict.json   狗崽子        gou3 zai3 zi5    sense dropped                    profanity  son of a bitch
cedict.json   狗改不了吃屎     gou3 gai3 bu4 l  sense dropped                    profanity  shit
cedict.json   狗日         gou3 ri4         sense dropped                    profanity  fucked
cedict.json   狗杂碎        gou3 za2 sui4    removed                          profanity  shit
cedict.json   狗杂种        gou3 za2 zhong3  removed                          profanity  son of a bitch
cedict.json   猫屎咖啡       mao1 shi3 ka1 f  removed                          profanity  feces
cedict.json   王八蛋        wang2 ba1 dan4   removed                          profanity  bastard
cedict.json   生闷气        sheng1 men4 qi4  sense dropped                    profanity  pissed
cedict.json   男风         nan2 feng1       sense dropped                    profanity  buggery
cedict.json   畜生         chu4 sheng5      sense dropped                    profanity  bastard
cedict.json   真香         zhen1 xiang1     removed                          profanity  bitching
cedict.json   破口         po4 kou3         sense dropped                    profanity  swearing
cedict.json   碧池         bi4 chi2         sense dropped                    profanity  bitch
cedict.json   粗口         cu1 kou3         removed                          profanity  swear words
cedict.json   粗话         cu1 hua4         sense dropped                    profanity  coarse language
cedict.json   粪便         fen4 bian4       sense dropped                    profanity  excrement
cedict.json   粪尿         fen4 niao4       sense dropped                    profanity  feces
cedict.json   粪青         fen4 qing1       removed                          profanity  shit
cedict.json   绿茶婊        lu:4 cha2 biao3  removed                          profanity  bitch
cedict.json   翔          xiang2           sense dropped                    profanity  shit
cedict.json   老不死        lao3 bu4 si3     sense dropped                    profanity  fart
cedict.json   老东西        lao3 dong1 xi5   sense dropped                    profanity  bastard
cedict.json   老子英雄儿好汉，老子反动儿混蛋 lao3 zi5 ying1   sense dropped                    profanity  bastard
cedict.json   老拙         lao3 zhuo1       sense dropped                    profanity  fart
cedict.json   老登         lao3 deng1       sense dropped                    profanity  fart
cedict.json   肏          cao4             removed                          profanity  fuck
cedict.json   肏你妈        cao4 ni3 ma1     removed                          profanity  fuck
cedict.json   肏屄         cao4 bi1         removed                          profanity  fuck
cedict.json   脏话         zang1 hua4       sense dropped                    profanity  profanity
cedict.json   脐屎         qi2 shi3         sense dropped                    profanity  excrement
cedict.json   脱裤子放屁      tuo1 ku4 zi5 fa  sense dropped                    profanity  fart
cedict.json   臭货         chou4 huo4       sense dropped                    profanity  scumbag
cedict.json   花拳绣腿       hua1 quan2 xiu4  sense dropped                    profanity  wankery
cedict.json   蔫屁         nian1 pi4        removed                          profanity  fart
cedict.json   虫豸         chong2 zhi4      sense dropped                    profanity  curse word
cedict.json   蚕沙         can2 sha1        removed                          profanity  excrement
cedict.json   说废话        shuo1 fei4 hua4  sense dropped                    profanity  bullshit
cedict.json   谢特         xie4 te4         removed                          profanity  shit
cedict.json   贱货         jian4 huo4       removed                          profanity  bitch
cedict.json   赌烂         du3 lan4         sense dropped                    profanity  pissed
cedict.json   蹲点         dun1 dian3       sense dropped                    profanity  crap
cedict.json   野种         ye3 zhong3       sense dropped                    profanity  bastard
cedict.json   闷屁         men1 pi4         removed                          profanity  fart
cedict.json   阿西吧        a1 xi1 ba5       removed                          profanity  fuck
cedict.json   靠          kao4             sense dropped                    profanity  fuck
cedict.json   靠北         kao4 bei3        sense dropped                    profanity  fuck
cedict.json   靠腰         kao4 yao1        sense dropped                    profanity  fuck
cedict.json   鬼扯         gui3 che3        sense dropped                    profanity  bullshit
cedict.json   鸟          niao3            sense dropped                    profanity  goddamn
cedict.json   鸟事         niao3 shi4       sense dropped                    profanity  goddamn
cedict.json   鸟人         diao3 ren2       sense dropped                    profanity  fucker
cedict.json   鸟粪         niao3 fen4       sense dropped                    profanity  excrement
cedict.json   鸡掰         ji1 bai1         removed                          profanity  cunt
cedict.json   黑屁         hei1 pi4         removed                          profanity  bullshit
cedict.json   龟儿子        gui1 er2 zi5     removed                          profanity  bastard
cedict.json   龟孙子        gui1 sun1 zi5    removed                          profanity  son of a bitch
cedict.json   A片         A pian4          removed                          sexual     adult movie
cedict.json   丁丁         ding1 ding1      removed                          sexual     penis
cedict.json   三七仔        san1 qi1 zi3     removed                          sexual     pimp
cedict.json   三瓦两舍       san1 wa3 liang3  removed                          sexual     brothels
cedict.json   上床         shang4 chuang2   sense dropped                    sexual     have sex
cedict.json   下流         xia4 liu2        sense dropped                    sexual     obscene
cedict.json   下海         xia4 hai3        sense dropped                    sexual     prostitution
cedict.json   下身         xia4 shen1       sense dropped                    sexual     genitalia
cedict.json   不伦         bu4 lun2         sense dropped                    sexual     adulterous
cedict.json   丑化         chou3 hua4       sense dropped                    sexual     to defile
cedict.json   丑话         chou3 hua4       sense dropped                    sexual     obscenity
cedict.json   临幸         lin2 xing4       sense dropped                    sexual     copulate
cedict.json   为爱鼓掌       wei4 ai4 gu3 zh  removed                          sexual     have sex
cedict.json   乌七八糟       wu1 qi1 ba1 zao  sense dropped                    sexual     obscene
cedict.json   乌龟         wu1 gui1         sense dropped                    sexual     cuckold
cedict.json   九窍         jiu3 qiao4       removed                          sexual     anus
cedict.json   买春         mai3 chun1       sense dropped                    sexual     prostitute
cedict.json   乱伦         luan4 lun2       sense dropped                    sexual     incest
cedict.json   乱搞男女关系     luan4 gao3 nan2  sense dropped                    sexual     promiscuous
cedict.json   二房         er4 fang2        sense dropped                    sexual     concubine
cedict.json   云雨         yun2 yu3         sense dropped                    sexual     sexual intercourse
cedict.json   五打一        wu3 da3 yi1      removed                          sexual     masturbate
cedict.json   亚哈         Ya4 ha1          removed                          sexual     jezebel
cedict.json   交合         jiao1 he2        sense dropped                    sexual     copulate
cedict.json   交媾         jiao1 gou4       removed                          sexual     have sex
cedict.json   交尾         jiao1 wei3       sense dropped                    sexual     copulate
cedict.json   交接         jiao1 jie1       sense dropped                    sexual     sexual intercourse
cedict.json   交欢         jiao1 huan1      sense dropped                    sexual     sexual intercourse
